symbol,name,sector,industry,marketCap,pe,pb,ps,eps_growth,revenue_growth,ebit,ev,fcf,roic,current_price,ev_ebit,fcf_yield,classification,fair_value,dcf_value_gap,valuation_tag,growth_tag,final_tag
MMM,3M Company,Industrials,Conglomerates,78305337344,18.119553,17.540688,3.1944413,0.221,-0.01,5328000000,85474385920,374500000,0.05448,145.5,16.04248984984985,0.4782560329889126,Growth,147.06943929577074,1.0786524369558317,Fair Valued,Momentum,Growth - Momentum
AOS,A. O. Smith Corporation,Industrials,Specialty Industrial Machinery,9143291904,17.972067,4.928757,2.404105,-0.05,-0.015,768899968,9238895616,344950016,0.13352999,64.34,12.015731565227481,3.7727114000275055,Blend,56.3850001226904,-12.3640035394927,Overvalued,Stable,Blend - Stable
ABT,Abbott Laboratories,Healthcare,Medical Devices,232407826432,17.370611,4.7613616,5.4885654,0.086,0.04,11020999680,239106359296,6032374784,0.063769996,133.58,21.69552365834022,2.5955988129190684,Blend,125.27010132228511,-6.220915314953509,Fair Valued,Watchlist,Blend - Watchlist
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,335315730432,81.47211,236.10696,5.845098,-0.063,0.084,27366000640,400206299136,16941375488,0.08339,189.83,14.624215807078196,5.052365263679632,Growth,36.69749684892168,-80.6682311284193,Overvalued,Watchlist,Growth - Watchlist
ACN,Accenture plc,Technology,Information Technology Services,198857146368,26.18714,6.8039665,2.9582376,0.072,0.054,11472501760,199357825024,8601244672,0.11576,317.65,17.377014115533246,4.325338479957243,Blend,195.05039496485682,-38.59581458685445,Overvalued,Watchlist,Blend - Watchlist
ADBE,Adobe Inc.,Technology,Software - Application,177691312128,27.55585,13.849783,8.063316,2.044,0.103,8664999936,176818307072,8357374976,0.17194,416.92,20.40603674298746,4.70331096997008,Growth,690.8357826015166,65.69984232023327,Undervalued,Momentum,Growth - Momentum
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,188390473728,84.81022,3.2439902,6.7888455,5.252,0.359,5878000128,185811959808,3355624960,0.0256,116.19,31.611424933946513,1.7812073474823806,Growth,128.47859845193184,10.576296111482785,Undervalued,Momentum,Growth - Momentum
AES,The AES Corporation,Utilities,Utilities - Diversified,7752841728,5.9184785,2.2356808,0.63972616,-0.892,-0.052,3119000064,42272837632,-5762250240,0.02399,10.89,13.553330158572257,-74.32436314531198,Value,28.979998829090956,166.11569172718967,Undervalued,Stable,Value - Undervalued
AFL,Aflac Incorporated,Financial Services,Insurance - Life,56054071296,16.124416,2.1355305,3.3189692,-0.985,-0.375,4632249856,59756077056,5280000000,0.02343,103.68,12.90001163875043,9.419476369732985,Blend,101.27250500111137,-2.322043787508331,Fair Valued,Stable,Blend - Stable
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,32894726144,28.52217,5.358382,4.9629946,-0.286,0.06,1835000064,35092697088,1048374976,0.08462,115.8,19.12408493954145,3.187060963543616,Blend,63.94499436753935,-44.77979761006964,Overvalued,Watchlist,Blend - Watchlist
APD,"Air Products and Chemicals, Inc.",Basic Materials,Specialty Chemicals,62263361536,40.31412,4.2345996,5.1796784,,-0.005,4304699904,79263924224,-3988649984,0.047020003,279.78,18.413344946612103,-6.406094829450873,Blend,109.3050028129102,-60.9318025545392,Overvalued,Stable,Blend - Stable
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,86804832256,35.69543,10.968648,7.7283506,-0.395,0.061,2532000000,77592805376,3194249984,0.06276,140.64,30.644867842022116,3.6798066432289103,Blend,62.05500255915112,-55.87670466499494,Overvalued,Watchlist,Blend - Watchlist
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,10964142080,25.848993,2.4545918,2.7278485,-0.261,0.029,1124982016,14559822848,514483488,0.03916,77.03,12.942271646056252,4.692419016883079,Blend,46.93500052400494,-39.06919314032852,Overvalued,Stable,Blend - Stable
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,7039657984,,0.9032444,1.3820403,,-0.209,191592992,11676187648,-349651872,-0.01509,59.83,60.94266562735238,-4.966887209502251,Value,,,Fair Valued,Stable,Value - Fair Valued
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,REIT - Office,12200912896,92.80263,0.68705857,3.920802,,-0.015,1971954944,29721632768,1259089792,0.013040001,70.53,15.07216625736455,10.319635938166442,Blend,11.970000203658023,-83.02849822251804,Overvalued,Stable,Blend - Stable
ALGN,"Align Technology, Inc.",Healthcare,Medical Instruments & Supplies,13092204544,32.780396,3.4778087,3.288802,-0.088,-0.018,810150976,12337734656,630043904,0.06719,180.62,15.228932657608746,4.812359155271078,Blend,86.78250866768052,-51.95299043977383,Overvalued,Stable,Blend - Stable
ALLE,Allegion plc,Industrials,Security & Protection Services,11973758976,19.54354,7.4523344,3.134328,0.213,0.054,922300032,13626658816,520400000,0.11533,139.15,14.774648534328577,4.346170664058638,Growth,129.54839553120877,-6.900182873727083,Fair Valued,Momentum,Growth - Momentum
LNT,Alliant Energy Corporation,Utilities,Utilities - Regulated Electric,15535860736,20.855171,2.1902726,3.8096764,0.345,0.094,1759000064,26139879424,-1070000000,0.02735,60.48,14.860647227355644,-6.887291397512177,Growth,58.50750396628251,-3.261402172151924,Fair Valued,Momentum,Growth - Momentum
ALL,The Allstate Corporation,Financial Services,Insurance - Property & Casualty,55098032128,14.202048,2.7493887,0.84378064,-0.527,0.078,6040999936,57801928704,4154874880,0.03111,208.06,9.568271696137955,7.540877086767233,Value,230.73749645121606,10.899498438535066,Undervalued,Watchlist,Value - Undervalued
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,2114328199168,19.383928,6.114416,5.8778195,0.488,0.12,135705001984,2040776753152,60679000064,0.16896999,173.68,15.03833111024613,2.869895037481765,Growth,199.98720589552335,15.146940289914404,Undervalued,Momentum,Growth - Momentum
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,2114328068096,19.522322,6.1580706,5.877819,0.488,0.12,135705001984,2055824211968,60679000064,0.16896999,174.92,15.149214707726008,2.8698952153930777,Growth,199.9871941462701,14.33066210054317,Undervalued,Momentum,Growth - Momentum
MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,99786825728,9.939597,-28.453411,4.928718,-0.475,-0.042,12382999552,121169928192,4378625024,0.20923,59.24,9.785183927623548,4.3879790664303755,Value,93.87000297899402,58.45712859384541,Undervalued,Stable,Value - Undervalued
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,2267344535552,34.84013,7.410479,3.4865434,0.622,0.086,126144004096,2330722304000,39273500672,0.07632,213.57,18.476679257987076,1.7321364290336496,Growth,149.14290216483116,-30.166735887610074,Overvalued,Momentum,Growth - Momentum
AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,20874106880,16.267857,3.4171042,1.5505948,0.053,-0.023,1899000064,20436967424,658000000,0.04917,9.11,10.761962472477304,3.152230674024411,Blend,8.845200077674642,-2.906695085898545,Fair Valued,Watchlist,Blend - Watchlist
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,26037596160,21.294899,2.1245437,3.4278035,0.092,0.156,3268000000,45686587392,-2507375104,0.02686,96.04,13.979983902080784,-9.629825612903277,Growth,73.87380423828262,-23.080170514074748,Overvalued,Watchlist,Growth - Watchlist
AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,54375710720,19.65058,1.9895626,2.6973417,-0.211,0.087,7971500032,100885610496,-2700450048,0.028900001,101.79,12.655787504361136,-4.9662800030432415,Growth,81.58499647338654,-19.84969400394289,Overvalued,Watchlist,Growth - Watchlist
AXP,American Express Company,Financial Services,Credit Services,211907149824,21.136967,6.7953987,3.415158,0.093,0.088,0,212673118208,0,0.03727,302.47,,,Growth,234.6124517297113,-22.434472268419587,Overvalued,Watchlist,Growth - Watchlist
AIG,"American International Group, Inc.",Financial Services,Insurance - Diversified,50336657408,21.302439,1.2234892,1.861081,-0.333,0.003,7714999808,47125684224,19411625984,0.0072600003,87.34,6.108319558884945,38.563597552099104,Value,64.57500007393519,-26.064804128766678,Overvalued,Stable,Value - Overvalued
AMT,American Tower Corporation,Real Estate,REIT - Specialty,99498041344,34.391586,28.147264,9.776372,-0.471,0.02,6680600064,148179501056,4535612416,0.04533,212.54,22.180567559267683,4.558494172080011,Blend,97.33499932221794,-54.20391487615605,Overvalued,Stable,Blend - Stable
AWK,"American Water Works Company, Inc.",Utilities,Utilities - Regulated Water,27311431680,25.51002,2.5927024,5.672156,0.107,0.13,2601999872,41631375360,-1206125056,0.03475,140.05,15.999760725583926,-4.41619124962694,Growth,91.16144362097718,-34.907930295625015,Overvalued,Watchlist,Growth - Watchlist
AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,49385353216,17.634478,9.131614,2.7311885,-0.384,0.036,0,45433335808,3326500096,0.022219999,518.63,,6.735802984845862,Blend,463.20750180413614,-10.686327091734734,Overvalued,Stable,Blend - Stable
